Date,Agua_de_Beber_1963_Version,Aguas_de_Marco_Waters_of_March,Baby_I_Love_Your_Way,Back_in_Black,Better_Together,Billie_Jean,Bold_As_Love,Born_In_The_U.S.A,Break_Free_feat_Zedd,Break_on_Through,Brick_House,Coming_Home,Contact,Dancing_In_The_Dark,Dont_Worry_Be_Happy,Easy_Extended,Forget_You,Get_Lucky,Gimme_Shelter,Glory_Days,Got_to_Be_Real,Gravity,Holocene,I_Want_You_Back,Is_This_Love,Jamming,Lets_Groove,Levels_Original_Mix,Light_My_Fire,Little_Ghetto_Boy,Love_On_Top,Lovers_Carvings,Motherboard,Movin_Out_Anthonys_Song,My_Cherie_Amour,Ooh_La,Rich_Girl,River,Rolling_in_the_Deep,Sara_Smile,Seaside,Shake_Your_Body_Down_To_The_Ground,Sleepyhead,Slip_Slide,Slow_Dance,Sofa_Song,Someone_New,Starry_Eyed,Stayin_Alive,Stereo,Sunday_Candy,The_Girl_from_Ipanema,Thriller,Treasure,Use_Me,You_Make_My_Dreams,You_Rock_My_World_With_Intro,Latch_feat_Sam_Smith,Wish_You_Were_Here,Smooth_Criminal,Sir_Duke,Signed_Sealed_Delivered_Im_Yours,Rather_Be_feat_Jess_Glynne,Part-Time_Lover,Money,Just_Friends_Sunny,I_Will_Wait,Ho_Hey,Hey_You,Boogie_On_Reggae_Woman,Black_Or_White,Behind_Blue_Eyes,Beat_It,Beast_Of_Burden,Babel,Thrift_Shop_feat_Wanz,That_Girl,Sunday_Morning,Smooth_Sailin,Mirrors,Lisa_Sawyer,Kids,I_Got_You_I_Feel_Good,Get_Up_Offa_That_Thing_1991_Edit,Get_Down_on_It,Flowers,Electric_Feel,Cant_Hold_Us_feat_Ray_Dalton,Brown_Skin_Girl,Yellow,When_We_Get_By,When_I_Was_Your_Man,Viva_la_Vida,Stir_It_Up_Original,Should_I_Stay_Or_Should_I_Go,Needy_Girl,Lonely_Boy,London_Calling,Life_In_Technicolor,Call_Me_Maybe,Buffalo_Soldier
3/31/21,3356,4813,243,5370,247,3168,1547,9121,5332,4197,8315,2748,6829,723,3873,7950,2078,4999,592,1405,4772,26,5552,8445,6576,4695,2429,5882,8163,4076,5973,2523,7390,1778,3752,5302,1783,8470,2380,6985,4207,6107,7176,5822,3432,1325,7465,2922,6590,1728,9018,8957,2719,6132,8524,9699,6777,5259,8293,2508,779,2291,7777,8525,6358,4959,6124,1029,142,8862,5969,6507,2702,9631,9287,1136,3682,8037,2560,4117,8045,1700,5243,2341,6122,6240,1381,6645,7462,1111,2447,747,872,7670,5486,5964,7866,7876,2286,2732,7730
4/1/21,671,146,3273,4508,3535,6548,8303,7161,4224,165,2518,9690,6718,2157,5219,3183,3533,2857,431,3587,4974,2932,4961,4269,9655,6542,9642,7116,3608,8706,5804,522,7613,3538,6073,8851,219,3672,3195,5975,6036,4475,4214,4566,3253,1590,225,4865,1395,8644,9519,3557,877,1851,6216,6949,5366,0,9678,4883,5380,8768,3461,6699,5770,1980,341,4598,1943,8867,6037,3395,9944,9406,4725,7820,1307,5166,8060,4076,5305,7439,3924,780,4429,3107,2820,2542,4086,4792,6199,4143,7904,3006,6517,5717,4440,1791,7021,4776,6637
4/2/21,1719,90,4951,2508,9868,5722,7111,6927,2761,4407,2329,9481,8233,1763,993,725,6949,4963,9641,12,9245,5046,204,1611,4642,8437,2345,336,1204,3099,3677,8835,6051,6312,886,201,9349,7492,1160,6749,9534,6020,1815,7712,8424,1054,8579,7349,5385,9213,3198,9033,1369,2693,2000,6041,1484,8971,9937,6078,3565,9281,685,1964,766,3499,5348,9703,3557,431,8585,3900,7610,399,6448,5622,2229,8476,1282,5319,5857,3329,9413,5348,6172,3251,3919,8236,6972,5259,1027,1689,2470,9476,7463,7622,3860,1871,4348,598,7092
4/3/21,7418,5504,7210,6878,8518,8857,8850,5804,4335,2177,1222,8945,5465,568,2124,4108,6685,6932,5227,8710,6406,2909,1766,1694,5485,1443,1655,2239,1161,930,7989,567,205,7040,3224,8077,3143,7591,5862,9162,9207,4271,706,1234,7668,1603,3642,3378,4940,3114,9639,2164,340,2622,3687,8692,1761,7758,7631,9871,3820,611,7466,6153,571,3824,5849,2313,5142,8226,6627,9772,2696,227,4261,3169,3713,1843,8288,968,5623,3172,5372,9987,1986,1883,3136,9298,76,684,7811,4475,8765,7299,7133,5588,167,6872,9612,4720,7199
4/4/21,7866,1634,4066,7832,9631,5871,7374,2219,1384,5235,4074,5848,1499,6531,782,8552,2367,593,2552,3833,7750,9102,6123,6165,8504,4683,7829,397,516,763,1007,8552,2919,9543,6388,5142,6842,1424,5806,8424,2350,9439,7446,9047,2818,8111,1912,4554,4823,2398,532,8952,1583,8392,7602,2685,6180,6350,7919,6426,6707,855,7282,9277,7798,644,8597,4740,4332,2679,1410,8086,3531,501,602,9681,2590,4510,6822,4431,5127,5988,4236,9623,1119,5165,1476,9995,7177,1508,3603,5889,6367,5034,9227,3326,6608,3678,1635,3305,8312
4/5/21,1405,7194,9004,5732,5600,6415,6785,3472,3823,7423,407,9929,3814,9184,8893,9081,3755,7716,7048,6626,5624,4876,3815,8124,5024,5862,7743,3949,425,9730,1249,1286,4629,1062,8128,36,5791,1668,9834,8605,3779,5953,6000,4968,1934,4823,6042,5879,5220,367,9479,8293,8960,854,1804,6018,7593,4597,4791,5331,4426,4100,1367,8972,4644,1915,4035,7715,6255,3311,6948,8395,4083,5539,6346,7770,3972,1815,5351,1259,6205,1334,1838,2393,4378,5933,4628,2563,528,6516,6053,8618,6449,3921,4150,3380,9652,4807,6624,9421,8032
4/6/21,4142,6775,2269,7726,574,6089,5415,7714,7214,7021,8236,7092,3895,8428,1754,5477,8861,4425,774,6028,6393,2272,8907,5595,5761,822,3479,6080,3087,5794,6461,1448,7806,6748,7533,6195,165,843,9237,4699,1539,6310,1511,3801,7273,6838,4764,1622,4738,9097,1164,8411,7439,9119,1456,3767,1814,66,7269,9911,2528,8343,804,5405,2130,911,331,6884,7087,5601,1805,2023,1845,1133,5313,8177,2962,4151,3413,6331,5946,8299,931,8216,5441,2223,4480,8400,9004,7836,6525,107,5008,6325,1956,1736,5215,8807,784,5905,8341
4/7/21,5886,5213,4056,8532,9169,1602,5886,5136,1430,5688,650,6565,8480,3378,4498,9852,9959,7303,2538,7602,9326,9821,8462,3019,5962,3651,4697,339,1302,602,6944,4294,1587,3005,9602,2770,1094,1506,1057,3074,9392,6838,7817,6035,9651,9937,5756,5627,9923,459,4367,6859,8353,7809,7045,8185,6239,8000,5101,6417,9035,5130,5687,4840,1267,7616,5803,7930,9549,1908,1276,1815,6319,3533,7479,4197,6508,6219,8578,8519,3236,1287,7819,1702,3676,1924,9898,6597,3298,7208,2839,1263,6335,7868,9477,9543,2806,7943,6499,5527,542
4/8/21,9011,8612,8681,8389,7969,2006,3148,2733,3646,9028,1751,9607,1210,2625,668,1151,3423,1279,228,3494,4409,7491,2910,8498,6433,1438,7938,2348,3889,4431,3692,2946,5734,4186,8773,6588,210,9643,5032,1078,6046,343,4800,609,7415,8763,4753,1782,9024,4293,8479,7504,7985,2970,4200,1980,1311,5196,6428,3863,155,1763,693,141,5860,295,9836,9650,1348,1963,9984,8904,657,9702,23,124,8052,1338,2331,108,3896,1462,3,6054,3102,6658,4299,6111,8823,6179,6560,2713,1288,4426,9731,7921,5997,8121,442,8603,7967
4/9/21,405,4646,7079,3386,8674,4884,4497,8237,6450,5261,8681,5825,5259,8482,5890,3192,2994,8735,5900,7935,9144,7004,6516,4638,9098,3177,4697,7696,1524,6051,5379,8022,7790,5290,5955,1235,7464,8089,9058,5117,3507,1935,6288,3711,3139,6434,113,563,168,805,2057,412,155,2677,4079,7279,9982,1706,8698,5570,3665,9861,9384,8119,8015,9236,1609,3116,6245,7423,5961,7998,4714,4886,5690,9462,4057,8558,3575,6428,6945,4613,7927,8732,5870,6425,4501,2075,6900,3208,7553,595,9635,342,283,8171,321,9804,5428,2052,4598
4/10/21,1524,851,8654,4492,4437,4748,2345,1013,3353,3899,4743,5622,1291,6510,1422,1282,5407,3998,9541,6095,9990,317,514,3447,2823,6655,7802,6179,1013,94,5765,2556,9255,3483,3276,7533,4368,4688,1458,3141,3778,9488,2567,8465,5864,5432,87,9840,5402,4858,671,4132,9868,8373,9945,4685,442,8519,9610,2975,6908,6360,3969,621,5750,7827,2486,9630,1028,8487,7772,5366,9955,5170,6026,3373,6847,5775,6986,1695,7008,6632,3439,3433,1445,8275,7717,6669,4261,8635,6228,8536,2619,4779,586,1892,6026,2045,7548,7603,3570
4/11/21,8473,3613,1195,8643,134,3924,9303,7672,1119,5764,1327,3810,2437,2879,6973,5786,708,206,6615,5018,1650,3532,5887,8127,1171,522,6187,6110,6448,9696,2944,925,5383,4905,7719,4279,2759,4749,3887,9649,1993,6280,6334,3369,57,7625,1325,1885,3392,8677,4216,989,2508,5818,805,804,490,5845,9617,7276,9689,7357,1531,563,6836,3505,9678,386,4908,5813,8704,3154,3792,4526,1112,654,1329,8426,5516,7870,6833,3873,4575,7229,4812,4017,2644,3304,7311,8784,2354,7002,1810,5770,2043,6655,2633,1605,4003,328,4656
4/12/21,2597,1874,3015,3316,8220,8011,8164,5006,2261,5575,4680,7598,6604,4320,463,7991,8291,2710,1174,3245,4558,7990,2847,5955,1982,375,1755,9730,8706,6519,2662,670,2472,2488,2441,7570,1263,235,3058,5854,5133,8791,5006,5253,420,3868,8257,1963,794,5764,5551,1018,8717,5592,2922,900,9253,887,5113,931,2042,3056,9370,6317,1298,5057,428,993,9102,3176,5513,1124,3707,8734,9970,8529,7941,107,6115,7733,5007,5220,3599,3264,3268,4113,8098,5539,6290,2043,50,8401,5742,6987,7701,5407,4055,5304,3731,2097,1097
4/13/21,6760,8687,3619,743,2946,1129,2594,3685,6741,9864,3267,7579,9411,8337,785,8219,2627,8613,4789,1190,8169,9609,9882,8874,66,6953,4063,7757,9631,8347,4547,6808,620,3550,6671,4981,5591,9068,8065,4464,3377,3744,9315,9656,5891,6642,1947,1353,7814,2202,3851,9025,2067,49,8997,7272,9168,7564,8938,9186,7396,4885,3013,1580,5020,6255,2180,5130,8610,7885,3561,5653,6391,6590,763,8486,3596,1711,5594,4571,102,1339,1163,4326,7945,1520,6306,893,5958,9787,4637,8503,6359,7536,1653,893,3554,2469,5817,620,7014
4/14/21,9494,6095,4124,7580,5582,9575,1370,1905,4093,8370,4889,6435,2026,1895,6277,162,8395,6071,4374,3260,1384,3188,5275,758,6980,8834,2970,687,4129,9301,1667,235,5278,3814,841,5163,4230,200,2499,5913,5049,3562,6970,4688,4015,6695,3419,9469,6165,5884,1866,1175,3866,5511,1266,1694,2771,7586,3060,8769,4578,6883,1685,3783,7817,2675,8891,2976,9075,8780,5827,3761,5184,1347,4107,7520,8192,8511,6583,6060,2782,6644,1874,4094,3407,3008,789,3960,6116,7493,8659,8686,2626,6823,5609,8334,2645,4293,359,7511,1636
4/15/21,3773,4987,2582,7719,1898,9161,704,9287,2456,1894,1789,9598,7616,6431,2363,2627,6792,9245,8324,4760,9667,6737,895,1974,4781,6425,5069,8765,6611,4589,1851,9490,1932,9180,2323,8624,3179,1191,5164,5447,9676,139,1235,714,3031,6697,7041,1283,5457,583,551,4108,7733,7727,4472,1960,161,6086,7466,6767,6270,1535,1026,4821,5308,442,3502,1594,6252,1041,9193,3392,2988,4550,7548,3988,7456,4359,1516,4794,5214,9591,446,7131,3020,2498,580,7750,4236,4606,9972,6922,3784,9647,5443,2655,7775,9498,7042,1228,8697
4/16/21,1019,151,3128,3579,1489,2140,6870,1356,7378,787,8712,9533,2266,4016,2696,8647,4935,7265,4523,7536,2286,3134,2946,2756,2372,4979,6869,1,8651,3112,8385,6056,2751,35,1046,9620,2076,3999,4706,8592,6800,6886,8458,8308,1966,7179,4718,4458,3016,3036,5189,7028,8317,7480,2628,8941,8726,8506,5229,4942,3133,8642,4678,5797,1290,6660,3232,8841,4701,8033,1859,700,8656,3927,9545,2844,411,6396,8529,9304,5764,6009,1163,7064,717,3971,5381,877,539,5778,295,8135,684,4352,6880,6977,1786,9206,642,928,3928
4/17/21,5936,2089,1179,1926,6735,9156,4547,8201,3811,3400,3961,8324,433,8874,1054,2872,7910,9968,5872,22,7254,6561,8005,1845,8868,5174,7779,2863,3856,9056,6966,872,4142,4727,1086,5241,9611,4575,9458,8719,3552,3072,4771,7355,9284,5931,5603,2782,1485,6108,8501,6184,9012,9250,2382,9407,9365,1774,2365,566,8475,5567,2631,2179,3052,1877,2683,2763,3122,133,3415,1259,8959,2128,2263,2890,802,9441,7871,300,3693,8304,5797,3800,532,3360,6055,3626,4182,371,112,8750,9314,7486,5389,4558,2453,3999,3150,262,2543
4/18/21,8653,9769,7407,2910,6160,2026,9796,9487,7001,2075,3541,5240,2921,8277,7506,696,762,800,665,1110,679,2717,3492,3658,9828,9047,6495,4853,3259,7810,4947,2576,8017,8325,3997,6394,1328,7498,2213,6019,7113,8392,1229,9198,5928,6599,7562,4265,6648,4399,3611,5209,5905,4778,6284,9747,413,3101,4942,7766,6547,9443,7368,4856,1016,7427,8662,1168,1779,3708,1385,7157,6834,4704,2803,2220,1160,2727,824,3391,6943,5561,9248,9460,7182,7315,1119,9236,1097,9132,2045,4141,3699,9325,9001,7493,7125,7079,1489,7729,3368
4/19/21,3078,1036,5135,9380,8257,5665,3769,2668,6950,4502,7104,6841,103,5269,6696,9392,579,7061,1315,4522,626,8381,1141,9393,2890,4636,6133,5430,6020,9590,8556,8191,5626,7309,5835,8826,9557,5963,1100,5894,4199,4163,6836,4935,7359,9414,6210,723,1767,6028,7929,903,1629,7115,4456,810,1520,7206,4790,7246,6628,1661,654,508,2994,6652,5311,3303,6736,7542,2455,4143,9379,7973,2523,9563,3868,6878,3160,9597,394,7887,1631,9127,8093,3767,9791,9379,5572,5882,3184,6886,8205,1145,5961,6917,2656,7317,3682,7195,8142
4/20/21,6008,5444,4726,6401,889,7531,4706,8182,9055,6418,1428,3655,571,4144,3677,2106,2503,1584,5243,4032,6706,7181,2816,5414,7393,8631,6113,7353,3120,118,8189,9293,7395,9604,9844,6435,1037,365,3357,452,1839,7738,9661,9251,7863,1493,9996,4922,8091,9859,7176,353,4540,3841,5665,7894,8691,1589,3537,2857,2947,5252,8087,8458,6652,6944,8387,1846,793,3869,1119,4326,8871,3366,2676,1811,5617,2671,2511,398,1475,3754,9716,39,4850,4301,3209,2225,2679,1747,2890,2917,9778,9776,7904,8072,9420,6395,8734,8212,5925
4/21/21,9987,6128,8383,7793,4673,3051,9165,3516,3826,8279,6816,260,5209,9791,6304,6979,9939,151,3374,607,1751,982,7457,1784,2111,6813,1908,755,3255,9465,3129,7610,141,1790,8874,16,3485,1740,6480,9651,8681,2510,5499,2388,5684,82,6378,3272,6967,7143,2876,7088,8421,9042,4082,3474,4224,4002,3693,3605,1584,6325,3272,5040,8402,9750,1234,6399,2090,3495,8852,5664,3926,6551,5517,4674,4437,638,1549,9698,4807,1138,5185,7051,8118,4160,606,2496,8065,5255,4877,2107,1745,9538,5321,8001,8932,9669,8122,7525,8128
4/22/21,1709,7878,1884,8435,7472,7100,1232,6840,1092,1559,1354,691,7035,9712,9537,1060,5433,2684,5622,6734,8315,6223,6360,3317,8448,1288,6779,7067,2164,1381,1344,6907,8894,5021,95,7950,3470,9174,3941,1508,1890,40,7985,1450,790,4442,1667,7880,2904,4033,4829,6462,8494,9733,8769,3119,4236,979,452,3968,1736,290,946,5979,9398,2599,9514,9967,8579,3979,6562,3698,9889,5924,291,6838,5784,2137,3574,7470,1470,2297,7616,6313,4018,4042,5857,6426,3489,1,7551,3801,5236,7524,1329,4774,5228,8158,5774,1129,2193
4/23/21,3763,7899,9190,3261,3478,1355,2795,6457,3898,2175,601,3111,4840,5294,9294,6009,1429,3699,101,1643,3109,3082,4808,1391,3716,3487,129,730,9381,1483,433,4055,3765,9012,4441,746,8366,8762,6303,5941,1823,6290,6027,6820,8623,8951,2162,676,2459,4792,3822,7986,8704,2285,5707,8341,3291,6196,395,9650,826,9120,6352,7152,8320,7409,3120,926,3765,9646,4824,4338,2900,7510,1724,2571,6158,8045,3885,793,9552,946,4411,6190,2163,9451,6277,8874,5952,9842,5888,5261,8229,1608,2220,4708,1967,6230,3101,9561,7626
4/24/21,1528,4060,1912,1537,5868,8941,918,4478,7509,1096,7010,3562,2852,4770,5279,8088,5512,763,1230,5549,4196,3310,4060,9732,6041,7600,6863,5311,7646,5831,7053,3056,9954,4556,5460,5966,2016,9007,6652,9001,5484,6551,1233,3737,6295,5399,8043,7693,2878,2182,3440,2002,8540,2874,6076,9345,8906,3534,2508,7303,6601,9487,2999,7771,7147,1582,7273,6861,6092,804,4376,470,2659,2172,6574,694,2832,2474,4269,3286,4304,6576,1859,5875,8888,1224,1482,4891,646,4724,5458,7198,2130,6666,2753,6442,2913,9154,4874,1369,9559
4/25/21,2833,3518,5136,2253,3383,9329,1376,2309,1713,7492,2942,4180,1465,184,1795,5582,9925,5555,9744,759,4460,5394,679,7140,4210,4632,5597,2319,5007,9122,4676,7239,1444,480,3577,4730,359,2436,3578,4292,349,5556,6093,2486,7897,9126,8520,1595,2838,8289,9341,6647,3783,3794,3385,8281,9342,9959,5553,3517,6796,5674,6955,983,3776,9035,3938,9661,1946,426,621,6195,6010,9451,7090,3312,3524,3194,9761,9347,3229,7085,7658,2845,8031,1953,951,1362,1261,699,838,1726,2479,7778,2658,2905,3743,5715,6866,4127,3593
4/26/21,8436,4296,2640,3474,813,1562,1965,8081,838,4212,8545,9148,2658,8873,4015,1559,2134,6381,1770,7565,5593,4310,3366,5704,9052,9035,8805,7112,1028,526,1509,1293,4613,6008,2815,4296,9092,4984,1673,2748,1935,3745,9294,5545,5024,3386,5998,3817,6709,9191,3904,9946,9805,8084,2826,5401,3813,1667,6445,822,1470,7794,6687,6599,1694,1682,56,3564,5238,5093,9874,1931,8971,7570,6366,1544,759,2301,1374,3144,2785,4274,2393,3104,2652,8721,1824,1842,2158,5532,278,7414,8087,7327,5962,6064,5569,9570,7883,8329,1700
4/27/21,4871,9455,6516,7394,6804,6618,7807,1200,7688,1561,9479,1835,7124,745,7349,4623,103,5171,3703,6154,9971,9879,180,4733,8037,7480,4491,1334,5526,7905,7321,2418,449,6156,5176,7994,7648,6708,4750,2587,1070,3474,9148,9224,535,6569,1961,5170,3,2145,7527,4013,7655,7900,355,6364,1155,6760,3866,265,7421,1384,9995,152,9132,8595,4476,1470,4191,2335,4082,9464,8795,745,3956,5492,5156,2476,5675,2175,2077,4167,2099,1567,5625,1715,2939,7186,979,1048,2172,5506,4370,8474,7459,8118,3215,7830,6145,8633,5138
4/28/21,4053,4810,3816,3949,3034,4995,3323,7708,458,3913,2284,9020,1175,8255,7234,2880,2158,8789,5548,4567,9215,6366,5307,295,3723,6355,6562,1620,8049,6920,1160,1845,193,543,5395,1009,8247,1794,7797,5745,6645,7714,1250,5595,9152,450,2320,3231,4391,1262,8945,2599,5604,1416,35,7152,9822,3613,6868,4954,6143,9680,9111,6766,4293,8533,1940,2171,8214,7034,8509,2644,6716,7032,7346,2772,5296,722,5840,5701,381,7494,132,7534,516,8786,2401,9844,5996,7241,2559,7019,5252,3084,9205,1159,5567,9790,594,8160,7546
4/29/21,6395,75,4786,6031,9900,1460,6388,7884,9444,6169,8401,6995,6394,3934,1244,9381,5101,1883,9631,4454,6332,3897,7788,2441,9489,9128,5171,3526,6625,4424,9693,3462,2131,7409,8955,3305,4894,3926,2772,6323,5504,7511,994,2631,1460,6542,4023,6563,7097,8432,4930,6171,8760,3503,4211,9570,8793,2384,2707,2496,3635,1605,4014,8672,9839,9608,7068,4082,2560,2084,5370,5295,6661,8231,5604,4347,1868,627,2986,330,2185,6291,1447,8548,8925,8973,5086,5647,2439,3468,2327,1374,2258,7234,3433,7738,4389,9269,6453,1529,9214
4/30/21,876,1713,489,6531,3666,4408,1455,551,55,7646,38,4631,9038,4471,1895,7273,9117,1903,6206,2272,1495,9768,4540,6246,2417,9694,86,2456,8984,7150,5740,8432,3088,9874,7590,4057,7692,234,5943,3052,802,2913,876,1370,9335,4226,8924,375,1218,8631,1180,8926,4301,8862,1316,2787,8692,1914,2876,6021,4870,9592,7333,228,5827,8461,1001,9643,6268,8163,7141,8437,9935,243,9660,7497,2885,5522,558,3752,8437,9535,9395,3163,7475,7920,8261,1853,4711,9569,5985,7288,835,7928,1669,9643,787,2348,9305,7374,6518
5/1/21,8258,4820,5196,4987,7875,6328,3728,7052,4124,930,9794,6758,4158,4330,2708,2734,5583,7686,1087,5110,1415,6166,2243,7869,1083,9404,6929,6583,5937,9930,5645,1335,9147,1361,2970,4730,9605,7516,9722,3634,9366,8463,8317,1377,7364,2284,9149,1727,5438,9959,8008,9431,6309,6058,7450,560,4749,8431,7368,3259,4256,6165,1911,5322,3394,5543,8826,3027,4998,5244,4969,5577,2603,8889,1810,2292,7238,5026,2844,9682,4250,5551,4596,7936,9049,7428,4296,1411,5160,6967,552,7230,422,4720,4020,5724,3672,2844,6258,4483,5588
5/2/21,9584,8852,624,7010,3444,240,6512,5070,787,9175,9079,3926,5567,7574,5762,5960,7782,1045,613,4609,1366,7960,8449,7667,6113,2193,1038,7443,7134,3539,5229,5405,7201,5911,1648,8959,2282,5546,2340,727,3466,4703,9447,3348,987,2622,1882,9037,5351,3568,1302,1690,8750,6794,9717,4087,18,8569,4260,4251,5995,750,2958,443,3621,1290,8894,7371,6131,3822,5352,9125,2335,9452,4129,6577,1996,7176,2555,9151,1462,5825,2009,5048,6280,8522,9203,6627,6211,7449,3034,6930,9607,7645,6266,8442,1436,7469,1184,2290,6156
5/3/21,4851,9618,1871,4825,3996,843,8894,8431,714,2295,4379,122,9778,5936,2517,6412,7578,5966,1858,7632,4995,3832,2692,2478,5118,7910,4122,9613,2244,8915,9042,6147,440,9784,5268,1445,2932,1148,7685,9713,3268,5689,5935,9200,3157,1547,4138,7146,6593,3275,5263,2103,755,9157,8922,7704,2470,1412,4671,6227,2401,6108,224,6578,2991,453,7828,536,6,2539,9564,8107,7469,9446,9865,2518,8833,7022,6951,4611,8564,7629,712,619,1103,887,8937,3736,4147,2523,6339,1446,5425,1861,5922,3767,6081,6177,6247,1229,750
5/4/21,7076,7064,5142,8731,9053,9910,8629,591,2881,8851,6618,622,8503,6057,7150,8499,9872,310,2270,7220,2958,188,240,9851,7331,8255,9442,8016,6784,3493,7943,2864,4829,8895,6043,5093,8191,9069,9996,6328,4524,2236,4307,5433,7439,6221,8707,8623,5915,2077,1357,7724,9672,2515,3453,7607,8015,9967,4463,6340,573,5290,909,3466,6308,4256,2513,4938,6029,4614,160,7754,2346,2671,9068,4103,8131,3994,2532,7243,1423,3243,3455,7448,9345,2645,5455,1198,9054,9171,3704,9387,7377,9862,72,6250,3242,9520,1079,9871,8590
5/5/21,5207,8041,5103,2556,4343,9023,1348,9862,235,1460,8591,3782,1563,3824,3650,559,6205,1488,3104,3589,272,3709,5842,157,7341,6935,2244,1980,6289,4722,151,1514,7967,2632,780,3466,1074,6065,962,309,8972,3028,7706,1424,7258,792,4336,7342,1667,1819,4183,4195,2549,1103,4825,1375,8040,32,7119,8708,9553,7701,6415,3672,7392,6423,8674,5896,3529,7871,6972,4691,6966,7872,6545,184,9413,7608,492,8969,5527,200,2963,6519,1036,1263,1430,503,6950,3429,9166,206,2398,3754,7507,6220,2659,4202,9280,876,8850
5/6/21,2507,5960,2789,8678,4822,1921,7935,9800,6028,4719,5124,1012,5592,7246,9260,1690,9827,9445,6162,4501,3550,3005,4538,6547,287,7467,4670,3732,916,9359,7161,1410,4224,6723,202,1861,6721,6214,117,6160,9195,115,5052,5551,4151,1894,3735,5738,5175,163,3650,6682,4254,8089,6956,5142,2982,7113,5617,8144,154,3867,7154,9973,8764,1993,4253,6033,4180,3869,3051,5049,7252,2627,7244,4885,6388,2447,1285,6457,8968,609,2193,9876,7763,6528,3851,9861,6269,2531,3062,8711,9567,3323,1898,1200,6853,7067,872,4989,2933
5/7/21,5856,8652,9196,3136,3936,9587,6942,6353,4633,7731,6540,9102,1193,2730,5248,9991,8990,6011,6089,9902,9158,3431,4063,7970,9933,9851,6178,3853,9156,8720,4803,2815,6465,6474,1450,5839,6977,7531,4606,5088,152,3282,1694,9877,5026,2855,4892,2244,7011,1434,3133,4901,974,6677,8576,3820,6423,4321,8417,438,8836,4433,7037,5318,3359,3280,977,951,9184,8906,2939,6718,2353,1461,4795,1492,7570,1737,2776,1422,4049,6915,2183,4770,9124,9712,2560,785,2020,7362,994,6030,4766,8978,9905,7048,9963,2860,2885,3432,1755
5/8/21,561,4111,9253,8444,2677,3809,90,5826,5610,6585,3769,6086,9745,8409,8504,7035,8765,9450,425,5015,3684,8854,9120,5879,2002,217,5946,7332,4566,6122,8834,5705,2020,9101,4509,8808,7546,9737,9245,8555,883,9970,9041,2790,4487,3472,1838,1457,8793,5434,4208,9205,9353,1842,2065,221,8650,5073,713,5960,1274,2232,5033,3608,6372,8262,3667,4774,4801,2339,2947,7958,7158,1065,796,1565,8717,2744,2689,936,8861,3962,2793,8236,4112,5509,5256,5592,8124,8862,6330,5390,1665,3146,5517,607,657,4854,9178,9729,3915
5/9/21,3652,1435,6303,4831,7888,5806,663,6290,9836,6748,7223,1980,7131,6205,6622,5882,7916,1529,7075,8064,2456,7607,6002,469,7699,2900,6029,3007,2427,7319,3438,4127,2996,3907,1470,2208,323,208,4559,2697,2648,2613,8481,5989,3896,7325,6239,792,7592,4296,1726,5235,3928,7287,2098,8791,6934,5165,6149,9183,2491,2228,6172,6969,5926,7653,8758,2751,1359,4571,7902,3489,7879,8535,3539,3909,5020,3522,3288,4568,3478,16,5871,1721,2468,9688,8395,8399,4243,8708,280,9972,526,4492,8365,4506,91,4761,8477,4625,2026
5/10/21,7529,4353,8551,3768,7618,8587,3990,9764,6346,9653,2437,8607,2707,3424,7354,2175,5021,3072,5818,5885,390,3981,5985,4547,6100,1390,2566,9295,7194,5166,6162,9940,847,4278,1672,8267,7096,1372,6688,9511,1883,9938,493,7922,5503,8347,3583,8951,6743,2904,9578,675,8740,2695,5257,1948,7800,751,9123,6286,7531,3946,4484,552,276,4329,6176,5675,1103,7067,3701,2344,2287,9419,523,3466,3322,8188,5893,8784,3930,1401,8753,1373,3743,3492,4158,2986,8109,6183,6628,3792,721,5957,7546,4916,3137,4906,370,4230,9519
5/11/21,4773,3655,5323,8669,1299,9770,878,3392,9600,9034,4240,1270,3099,3785,449,8548,6292,8243,4127,6687,8036,1536,9382,9024,614,4060,5572,122,525,6728,191,6331,7646,1087,5505,2290,3943,5681,7629,3554,5868,5082,8172,9816,6972,27,7246,2193,5388,8012,7750,8008,3839,9297,4600,9327,4494,9790,6995,8068,7181,3595,7454,4317,667,3139,1988,6573,7398,1071,6839,6096,4136,81,383,1451,3948,4913,3045,7099,273,3537,5000,9083,6529,2642,9850,9416,7666,5206,4398,1002,8079,4589,3565,414,4026,6047,1262,3635,8782
5/12/21,6531,2614,4421,9249,6251,3316,8703,5193,5988,1769,6859,2735,301,539,1808,8309,8468,4532,963,159,3794,955,992,6416,5030,3783,6473,8980,6951,9218,7374,5624,5438,9541,8813,4761,8434,3625,4109,5085,8201,3967,9228,8477,4752,1746,2941,2881,36,3716,2994,5526,8658,5319,5157,7517,217,8478,8952,3779,8270,121,3496,8958,8844,4763,6876,6152,4678,7651,64,1496,6744,1191,7748,9150,4041,6173,5115,1526,474,798,8869,8783,4656,6590,6969,7822,8420,7390,9649,9005,5090,6365,9915,4703,9500,2321,264,9076,1323
